Respondent_ID,Age_Group,Education_Degree,Income_Quartile,Political_Views,General_Happiness,Trust_Government,Trust_Press,Trust_Science,High_Institutional_Trust,Survey_Weight
GSS_2050,45-59,Graduate,Q1 (Low),Moderate,Pretty Happy,1,4,5,0,0.8758
GSS_2051,30-44,Bachelor,Q3 (Mid-High),Moderate,Pretty Happy,4,3,3,1,0.8703
GSS_2052,18-29,Bachelor,Q2 (Mid-Low),Liberal,Not Too Happy,5,1,5,1,0.5617
GSS_2053,30-44,High School,Q1 (Low),Moderate,Pretty Happy,2,3,5,1,0.5994
GSS_2054,45-59,High School,Q3 (Mid-High),Extremely Liberal,Pretty Happy,3,2,3,0,0.5379
GSS_2055,18-29,Junior College,Q3 (Mid-High),Liberal,Very Happy,3,4,1,0,0.521
GSS_2056,30-44,High School,Q4 (High),Extremely Conservative,Pretty Happy,3,3,1,0,0.7232
GSS_2057,18-29,High School,Q2 (Mid-Low),Conservative,Not Too Happy,-9,4,5,1,0.6343
GSS_2058,18-29,High School,Q4 (High),Liberal,Pretty Happy,5,4,4,1,0.8035
GSS_2059,18-29,Bachelor,Q4 (High),Liberal,Not Too Happy,4,-9,4,1,0.6128
GSS_2060,30-44,High School,Q2 (Mid-Low),Moderate,Pretty Happy,5,4,1,0,1.3158
GSS_2061,60+,Bachelor,Q3 (Mid-High),Conservative,Very Happy,3,1,4,1,0.5342
GSS_2062,60+,High School,Q3 (Mid-High),Moderate,Very Happy,5,3,1,0,1.4715
GSS_2063,30-44,High School,Q1 (Low),Conservative,Very Happy,4,3,5,1,0.958
GSS_2064,30-44,High School,Q3 (Mid-High),Extremely Liberal,Very Happy,5,1,4,1,0.8347
GSS_2065,45-59,High School,Q3 (Mid-High),Liberal,Pretty Happy,4,2,4,1,0.5034
GSS_2066,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,3,3,3,0,1.3034
GSS_2067,18-29,Junior College,Q3 (Mid-High),Moderate,Pretty Happy,1,1,2,0,0.648
GSS_2068,18-29,Lt High School,Q4 (High),Extremely Conservative,Very Happy,3,2,5,1,0.7341
GSS_2069,45-59,Lt High School,Q3 (Mid-High),Extremely Conservative,Pretty Happy,2,1,-9,0,1.5084
GSS_2070,45-59,Graduate,Q2 (Mid-Low),Moderate,Pretty Happy,3,1,3,0,1.0513
GSS_2071,45-59,High School,Q1 (Low),Liberal,Very Happy,1,5,4,0,1.4833
GSS_2072,45-59,Lt High School,Q3 (Mid-High),Liberal,Pretty Happy,2,3,4,0,0.8349
GSS_2073,30-44,High School,Q4 (High),Extremely Conservative,Pretty Happy,4,1,1,0,1.4466
GSS_2074,45-59,Graduate,Q4 (High),Conservative,Very Happy,5,4,4,1,1.4599
GSS_2075,18-29,High School,Q1 (Low),Conservative,Very Happy,1,4,4,0,1.3456
GSS_2076,45-59,Lt High School,Q2 (Mid-Low),Conservative,Pretty Happy,4,1,4,1,1.1528
GSS_2077,30-44,High School,Q2 (Mid-Low),Moderate,Very Happy,2,1,2,0,0.8984
GSS_2078,45-59,Bachelor,Q4 (High),Conservative,Very Happy,4,-9,3,1,1.1349
GSS_2079,18-29,Lt High School,Q3 (Mid-High),Extremely Liberal,Pretty Happy,1,5,1,0,1.0694
GSS_2080,45-59,High School,Q1 (Low),Conservative,Very Happy,3,2,1,0,0.751
GSS_2081,45-59,Graduate,Q3 (Mid-High),Moderate,Pretty Happy,2,1,5,1,1.0564
GSS_2082,45-59,High School,Q2 (Mid-Low),Conservative,Pretty Happy,4,2,5,1,1.1959
GSS_2083,30-44,Graduate,Q2 (Mid-Low),Conservative,Pretty Happy,2,2,3,0,0.9387
GSS_2084,60+,Bachelor,Q4 (High),Liberal,Very Happy,-9,5,4,1,0.7993
GSS_2085,18-29,High School,Q2 (Mid-Low),Moderate,Pretty Happy,5,4,1,0,1.1077
GSS_2086,30-44,High School,Q3 (Mid-High),Conservative,Not Too Happy,2,3,3,0,1.1474
GSS_2087,30-44,Lt High School,Q2 (Mid-Low),Moderate,Pretty Happy,4,5,1,0,1.5414
GSS_2088,18-29,Bachelor,Q2 (Mid-Low),Moderate,Pretty Happy,1,4,3,0,0.8983
GSS_2089,60+,High School,Q4 (High),Liberal,Pretty Happy,1,1,2,0,0.5115
GSS_2090,18-29,Graduate,Q3 (Mid-High),Moderate,Very Happy,4,1,2,0,0.576
GSS_2091,45-59,High School,Q4 (High),Moderate,Very Happy,1,4,3,0,0.5222
GSS_2092,45-59,High School,Q4 (High),Liberal,Not Too Happy,3,1,5,1,1.391
GSS_2093,30-44,High School,Q4 (High),Conservative,Very Happy,2,5,2,0,0.6297
GSS_2094,18-29,Junior College,Q4 (High),Moderate,Pretty Happy,3,2,3,0,1.4561
GSS_2095,60+,Junior College,Q4 (High),Conservative,Very Happy,5,4,4,1,1.4057
GSS_2096,30-44,High School,Q4 (High),Liberal,Pretty Happy,1,1,3,0,1.3418
GSS_2097,45-59,Bachelor,Q1 (Low),Extremely Conservative,Very Happy,2,2,5,1,0.9535
GSS_2098,45-59,High School,Q4 (High),Moderate,Pretty Happy,3,3,1,0,1.5314
GSS_2099,45-59,High School,Q2 (Mid-Low),Conservative,Very Happy,3,2,5,1,1.3636
GSS_2100,45-59,Bachelor,Q3 (Mid-High),Extremely Liberal,Pretty Happy,3,1,2,0,1.5072
GSS_2101,30-44,High School,Q1 (Low),Moderate,Not Too Happy,1,2,2,0,1.1411
GSS_2102,30-44,High School,Q1 (Low),Moderate,Pretty Happy,3,5,3,0,1.3254
GSS_2103,30-44,High School,Q4 (High),Conservative,Very Happy,1,5,3,0,0.8984
GSS_2104,60+,Lt High School,Q1 (Low),Liberal,Pretty Happy,5,-9,1,0,0.8847
GSS_2105,30-44,Lt High School,Q4 (High),Liberal,Very Happy,3,-9,5,1,1.3628
GSS_2106,18-29,High School,Q1 (Low),Extremely Liberal,Not Too Happy,5,4,2,1,0.8759
GSS_2107,18-29,High School,Q3 (Mid-High),Liberal,Pretty Happy,1,2,1,0,0.8819
GSS_2108,60+,High School,Q4 (High),Extremely Conservative,Very Happy,5,3,-9,1,1.4459
GSS_2109,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,1,5,4,0,1.2541
GSS_2110,45-59,High School,Q1 (Low),Conservative,Pretty Happy,3,4,3,0,1.0915
GSS_2111,60+,High School,Q3 (Mid-High),Conservative,Pretty Happy,4,4,1,0,1.0203
GSS_2112,45-59,High School,Q2 (Mid-Low),Extremely Conservative,Not Too Happy,2,5,3,0,1.2095
GSS_2113,30-44,Bachelor,Q4 (High),Liberal,Very Happy,5,2,4,1,1.2984
GSS_2114,60+,Lt High School,Q3 (Mid-High),Moderate,Very Happy,4,-9,1,0,0.8717
GSS_2115,45-59,Bachelor,Q4 (High),Moderate,Not Too Happy,5,2,3,1,0.8819
GSS_2116,30-44,Lt High School,Q4 (High),Moderate,Very Happy,4,2,3,1,0.8456
GSS_2117,60+,High School,Q2 (Mid-Low),Conservative,Very Happy,-9,5,5,1,0.6928
GSS_2118,45-59,Lt High School,Q1 (Low),Extremely Liberal,Very Happy,-9,5,2,0,0.6844
GSS_2119,30-44,High School,Q1 (Low),Extremely Liberal,Very Happy,2,3,4,0,1.5773
GSS_2120,18-29,High School,Q2 (Mid-Low),Liberal,Pretty Happy,4,4,1,0,1.1247
GSS_2121,45-59,High School,Q3 (Mid-High),Extremely Liberal,Very Happy,3,1,4,1,1.1044
GSS_2122,60+,Bachelor,Q3 (Mid-High),Extremely Conservative,Pretty Happy,5,4,4,1,1.3921
GSS_2123,30-44,High School,Q4 (High),Conservative,Pretty Happy,5,1,5,1,0.691
GSS_2124,30-44,High School,Q4 (High),Moderate,Pretty Happy,2,-9,4,0,0.9647
GSS_2125,30-44,High School,Q3 (Mid-High),Liberal,Pretty Happy,4,3,2,0,0.6454
GSS_2126,30-44,High School,Q2 (Mid-Low),Extremely Liberal,Pretty Happy,2,3,5,1,0.9064
GSS_2127,45-59,Bachelor,Q1 (Low),Extremely Conservative,Pretty Happy,3,5,4,1,1.0044
GSS_2128,30-44,Lt High School,Q4 (High),Extremely Conservative,Very Happy,2,2,1,0,0.5936
GSS_2129,45-59,High School,Q1 (Low),Extremely Conservative,Not Too Happy,4,5,4,1,1.4075
GSS_2130,30-44,High School,Q2 (Mid-Low),Liberal,Pretty Happy,4,3,2,0,0.6036
GSS_2131,30-44,Bachelor,Q1 (Low),Moderate,Pretty Happy,2,-9,3,0,1.4734
GSS_2132,18-29,High School,Q3 (Mid-High),Extremely Conservative,Pretty Happy,-9,4,-9,0,0.5946
GSS_2133,60+,High School,Q1 (Low),Moderate,Very Happy,5,4,3,1,1.2373
GSS_2134,18-29,Bachelor,Q4 (High),Conservative,Pretty Happy,3,3,3,0,1.1149
GSS_2135,30-44,High School,Q3 (Mid-High),Moderate,Pretty Happy,4,1,2,0,1.5608
GSS_2136,45-59,Junior College,Q1 (Low),Moderate,Not Too Happy,4,4,2,0,1.4327
GSS_2137,18-29,Bachelor,Q2 (Mid-Low),Liberal,Very Happy,2,4,3,0,1.2418
GSS_2138,60+,High School,Q4 (High),Liberal,Not Too Happy,5,2,3,1,0.8738
GSS_2139,18-29,Lt High School,Q2 (Mid-Low),Liberal,Pretty Happy,3,5,3,0,0.5081
GSS_2140,45-59,Bachelor,Q2 (Mid-Low),Moderate,Pretty Happy,1,4,5,0,1.4303
GSS_2141,18-29,Lt High School,Q3 (Mid-High),Moderate,Not Too Happy,1,2,5,0,0.7961
GSS_2142,45-59,High School,Q3 (Mid-High),Extremely Liberal,Very Happy,1,1,5,0,1.31
GSS_2143,60+,Junior College,Q3 (Mid-High),Moderate,Pretty Happy,1,1,1,0,1.5426
GSS_2144,45-59,Bachelor,Q2 (Mid-Low),Moderate,Very Happy,2,5,3,0,0.6194
GSS_2145,30-44,High School,Q2 (Mid-Low),Moderate,Very Happy,4,2,2,0,0.6838
GSS_2146,60+,Bachelor,Q2 (Mid-Low),Conservative,Pretty Happy,3,1,4,1,1.4851
GSS_2147,45-59,Lt High School,Q1 (Low),Moderate,Very Happy,1,3,1,0,1.188
GSS_2148,30-44,High School,Q2 (Mid-Low),Moderate,Very Happy,2,3,1,0,0.7797
GSS_2149,60+,Junior College,Q3 (Mid-High),Moderate,Pretty Happy,3,4,5,1,1.5996
GSS_2150,30-44,Bachelor,Q3 (Mid-High),Moderate,Pretty Happy,2,3,3,0,1.4333
GSS_2151,45-59,High School,Q3 (Mid-High),Extremely Conservative,Not Too Happy,4,5,5,1,0.6848
GSS_2152,18-29,High School,Q4 (High),Extremely Liberal,Pretty Happy,1,1,4,0,1.2798
GSS_2153,60+,Bachelor,Q1 (Low),Liberal,Pretty Happy,4,1,5,1,0.736
GSS_2154,30-44,Lt High School,Q4 (High),Moderate,Pretty Happy,3,2,2,0,0.9303
GSS_2155,45-59,Bachelor,Q2 (Mid-Low),Conservative,Pretty Happy,1,1,3,0,1.1892
GSS_2156,60+,Junior College,Q4 (High),Conservative,Pretty Happy,5,5,4,1,0.5379
GSS_2157,60+,Bachelor,Q2 (Mid-Low),Extremely Conservative,Pretty Happy,4,3,3,1,0.5002
GSS_2158,18-29,Bachelor,Q3 (Mid-High),Moderate,Very Happy,5,3,5,1,0.8993
GSS_2159,60+,Lt High School,Q2 (Mid-Low),Liberal,Very Happy,2,3,5,1,0.6216
GSS_2160,30-44,Junior College,Q4 (High),Extremely Conservative,Not Too Happy,5,1,1,0,0.8447
GSS_2161,60+,High School,Q1 (Low),Moderate,Very Happy,1,5,4,0,1.5038
GSS_2162,30-44,High School,Q3 (Mid-High),Moderate,Very Happy,1,1,4,0,1.4922
GSS_2163,30-44,Lt High School,Q1 (Low),Liberal,Not Too Happy,2,5,3,0,1.4988
GSS_2164,45-59,High School,Q3 (Mid-High),Extremely Conservative,Pretty Happy,1,3,3,0,1.3567
GSS_2165,30-44,High School,Q1 (Low),Extremely Liberal,Not Too Happy,1,5,5,0,0.8302
GSS_2166,45-59,Lt High School,Q4 (High),Liberal,Very Happy,4,2,1,0,1.3464
GSS_2167,30-44,Graduate,Q1 (Low),Conservative,Very Happy,-9,2,5,1,1.047
GSS_2168,30-44,High School,Q3 (Mid-High),Conservative,Pretty Happy,2,1,1,0,0.8607
GSS_2169,45-59,High School,Q3 (Mid-High),Moderate,Pretty Happy,2,5,5,1,0.9162
GSS_2170,45-59,High School,Q3 (Mid-High),Conservative,Pretty Happy,5,4,2,1,1.0909
GSS_2171,60+,Bachelor,Q1 (Low),Extremely Conservative,Not Too Happy,2,3,2,0,1.4438
GSS_2172,30-44,High School,Q2 (Mid-Low),Conservative,Very Happy,4,5,-9,1,1.2135
GSS_2173,45-59,Bachelor,Q3 (Mid-High),Moderate,Pretty Happy,1,1,5,0,0.5756
GSS_2174,18-29,High School,Q4 (High),Moderate,Not Too Happy,4,5,4,1,0.9595
GSS_2175,30-44,Bachelor,Q4 (High),Extremely Conservative,Not Too Happy,1,1,1,0,0.577
GSS_2176,45-59,High School,Q2 (Mid-Low),Moderate,Very Happy,-9,3,1,0,1.2566
GSS_2177,60+,High School,Q2 (Mid-Low),Liberal,Pretty Happy,4,4,3,1,0.7987
GSS_2178,60+,High School,Q3 (Mid-High),Liberal,Very Happy,5,4,4,1,1.0178
GSS_2179,45-59,High School,Q4 (High),Conservative,Very Happy,4,3,4,1,0.7554
GSS_2180,60+,Bachelor,Q1 (Low),Moderate,Very Happy,5,5,1,0,0.5213
GSS_2181,30-44,Bachelor,Q2 (Mid-Low),Conservative,Not Too Happy,5,4,1,0,1.4439
GSS_2182,18-29,High School,Q3 (Mid-High),Conservative,Pretty Happy,2,2,5,1,1.1841
GSS_2183,18-29,Lt High School,Q2 (Mid-Low),Moderate,Pretty Happy,5,-9,-9,1,1.5639
GSS_2184,30-44,High School,Q4 (High),Moderate,Pretty Happy,2,2,2,0,0.6256
GSS_2185,18-29,High School,Q2 (Mid-Low),Moderate,Pretty Happy,1,5,4,0,0.5393
GSS_2186,30-44,High School,Q4 (High),Liberal,Pretty Happy,3,1,1,0,0.6126
GSS_2187,60+,High School,Q4 (High),Moderate,Very Happy,5,4,2,1,1.3969
GSS_2188,45-59,High School,Q1 (Low),Moderate,Pretty Happy,2,4,4,0,1.3264
GSS_2189,60+,Bachelor,Q1 (Low),Moderate,Pretty Happy,1,5,1,0,1.5844
GSS_2190,45-59,Graduate,Q3 (Mid-High),Extremely Conservative,Pretty Happy,5,1,3,1,1.554
GSS_2191,30-44,High School,Q2 (Mid-Low),Moderate,Pretty Happy,5,5,4,1,0.8306
GSS_2192,30-44,Bachelor,Q2 (Mid-Low),Conservative,Not Too Happy,3,5,3,0,0.8658
GSS_2193,30-44,High School,Q3 (Mid-High),Conservative,Pretty Happy,1,1,3,0,0.8046
GSS_2194,45-59,High School,Q4 (High),Moderate,Very Happy,3,1,5,1,0.8467
GSS_2195,45-59,High School,Q4 (High),Liberal,Pretty Happy,4,2,2,0,0.8253
GSS_2196,18-29,High School,Q3 (Mid-High),Moderate,Pretty Happy,3,1,-9,0,1.07
GSS_2197,45-59,High School,Q2 (Mid-Low),Conservative,Pretty Happy,1,2,5,0,1.3205
GSS_2198,18-29,High School,Q2 (Mid-Low),Moderate,Very Happy,5,2,5,1,0.8702
GSS_2199,45-59,Bachelor,Q2 (Mid-Low),Conservative,Pretty Happy,5,2,1,0,0.5903
GSS_2200,30-44,Lt High School,Q3 (Mid-High),Moderate,Very Happy,5,3,3,1,0.6096
GSS_2201,18-29,High School,Q3 (Mid-High),Conservative,Very Happy,5,2,5,1,1.0774
GSS_2202,45-59,Graduate,Q4 (High),Liberal,Very Happy,5,5,1,0,0.9126
GSS_2203,18-29,High School,Q1 (Low),Moderate,Pretty Happy,4,4,5,1,1.3543
GSS_2204,60+,Bachelor,Q4 (High),Moderate,Very Happy,3,5,3,0,1.4316
GSS_2205,30-44,Bachelor,Q1 (Low),Moderate,Pretty Happy,5,4,1,0,1.3463
GSS_2206,30-44,Bachelor,Q4 (High),Moderate,Not Too Happy,4,4,3,1,1.1567
GSS_2207,30-44,High School,Q3 (Mid-High),Extremely Conservative,Very Happy,4,4,5,1,0.9058
GSS_2208,30-44,Lt High School,Q2 (Mid-Low),Conservative,Pretty Happy,2,5,5,1,0.8817
GSS_2209,30-44,High School,Q3 (Mid-High),Extremely Conservative,Not Too Happy,3,3,5,1,1.1114
GSS_2210,60+,High School,Q2 (Mid-Low),Extremely Conservative,Not Too Happy,3,4,4,1,0.9124
GSS_2211,45-59,High School,Q2 (Mid-Low),Extremely Conservative,Very Happy,4,1,5,1,0.6867
GSS_2212,30-44,Graduate,Q1 (Low),Moderate,Pretty Happy,2,5,-9,0,1.4693
GSS_2213,30-44,Junior College,Q4 (High),Liberal,Pretty Happy,4,2,5,1,1.3505
GSS_2214,18-29,Graduate,Q3 (Mid-High),Extremely Liberal,Pretty Happy,1,4,2,0,0.8343
GSS_2215,45-59,Graduate,Q4 (High),Moderate,Pretty Happy,2,4,5,1,1.2228
GSS_2216,45-59,High School,Q3 (Mid-High),Conservative,Very Happy,4,4,2,0,1.0023
GSS_2217,30-44,Lt High School,Q3 (Mid-High),Liberal,Pretty Happy,3,5,1,0,1.5176
GSS_2218,45-59,Bachelor,Q4 (High),Liberal,Pretty Happy,3,4,5,1,1.042
GSS_2219,45-59,Bachelor,Q4 (High),Conservative,Very Happy,5,4,4,1,1.1937
GSS_2220,18-29,High School,Q2 (Mid-Low),Extremely Liberal,Pretty Happy,3,3,3,0,1.4756
GSS_2221,45-59,Bachelor,Q3 (Mid-High),Conservative,Very Happy,1,1,1,0,0.8425
GSS_2222,60+,High School,Q1 (Low),Liberal,Not Too Happy,4,2,4,1,1.5419
GSS_2223,18-29,Graduate,Q2 (Mid-Low),Moderate,Pretty Happy,4,4,2,0,1.0514
GSS_2224,45-59,High School,Q3 (Mid-High),Moderate,Very Happy,5,2,5,1,0.5698
GSS_2225,60+,Junior College,Q3 (Mid-High),Conservative,Pretty Happy,1,5,2,0,0.6734
GSS_2226,18-29,Bachelor,Q1 (Low),Liberal,Very Happy,5,3,1,0,1.3976
GSS_2227,30-44,Junior College,Q3 (Mid-High),Conservative,Not Too Happy,5,2,5,1,1.1483
GSS_2228,30-44,High School,Q3 (Mid-High),Conservative,Pretty Happy,5,5,5,1,1.2025
GSS_2229,45-59,Bachelor,Q3 (Mid-High),Liberal,Very Happy,1,1,1,0,0.8786
GSS_2230,30-44,High School,Q1 (Low),Moderate,Very Happy,5,5,2,1,1.5241
GSS_2231,30-44,High School,Q2 (Mid-Low),Extremely Conservative,Pretty Happy,2,4,1,0,0.939
GSS_2232,30-44,High School,Q1 (Low),Extremely Conservative,Very Happy,1,5,3,0,1.3625
GSS_2233,45-59,High School,Q4 (High),Conservative,Very Happy,1,5,2,0,1.2062
GSS_2234,18-29,High School,Q1 (Low),Moderate,Very Happy,3,1,2,0,1.0524
GSS_2235,60+,High School,Q1 (Low),Extremely Conservative,Very Happy,2,-9,4,0,1.4323
GSS_2236,60+,Bachelor,Q1 (Low),Extremely Conservative,Pretty Happy,1,2,2,0,1.2735
GSS_2237,18-29,Junior College,Q2 (Mid-Low),Liberal,Pretty Happy,2,2,4,0,0.9032
GSS_2238,45-59,Graduate,Q1 (Low),Liberal,Pretty Happy,1,1,3,0,1.1639
GSS_2239,60+,Lt High School,Q2 (Mid-Low),Liberal,Pretty Happy,5,2,2,1,1.2391
GSS_2240,45-59,Bachelor,Q2 (Mid-Low),Liberal,Very Happy,2,3,2,0,1.5491
GSS_2241,30-44,High School,Q2 (Mid-Low),Moderate,Pretty Happy,3,5,2,0,0.5977
GSS_2242,45-59,Graduate,Q2 (Mid-Low),Moderate,Pretty Happy,4,3,2,0,0.9451
GSS_2243,18-29,High School,Q3 (Mid-High),Conservative,Very Happy,3,5,4,1,1.1327
GSS_2244,30-44,High School,Q2 (Mid-Low),Extremely Conservative,Not Too Happy,3,2,2,0,0.9538
GSS_2245,30-44,Lt High School,Q2 (Mid-Low),Extremely Conservative,Pretty Happy,3,4,5,1,0.9637
GSS_2246,30-44,Junior College,Q4 (High),Conservative,Pretty Happy,4,1,5,1,1.4196
GSS_2247,45-59,Bachelor,Q4 (High),Moderate,Pretty Happy,1,2,1,0,1.1056
GSS_2248,60+,High School,Q2 (Mid-Low),Moderate,Pretty Happy,3,4,3,0,1.5797
GSS_2249,30-44,Bachelor,Q1 (Low),Liberal,Pretty Happy,1,5,4,0,1.0449
GSS_2250,18-29,Graduate,Q4 (High),Extremely Liberal,Not Too Happy,4,5,3,1,0.7569
GSS_2251,45-59,Bachelor,Q3 (Mid-High),Extremely Conservative,Pretty Happy,2,5,2,0,0.741
GSS_2252,30-44,Junior College,Q3 (Mid-High),Conservative,Pretty Happy,5,3,4,1,0.8227
GSS_2253,30-44,Bachelor,Q3 (Mid-High),Moderate,Very Happy,4,5,3,1,0.9306
GSS_2254,18-29,Bachelor,Q2 (Mid-Low),Extremely Liberal,Very Happy,3,4,5,1,0.879
GSS_2255,30-44,Graduate,Q1 (Low),Extremely Conservative,Very Happy,-9,2,1,0,1.5723
GSS_2256,60+,Bachelor,Q1 (Low),Moderate,Very Happy,5,4,1,0,0.5296
GSS_2257,30-44,Lt High School,Q4 (High),Conservative,Pretty Happy,1,5,2,0,1.5409
GSS_2258,45-59,High School,Q4 (High),Conservative,Not Too Happy,3,2,3,0,0.9678
GSS_2259,45-59,High School,Q3 (Mid-High),Liberal,Very Happy,5,5,4,1,1.3615
GSS_2260,60+,Bachelor,Q4 (High),Liberal,Pretty Happy,5,4,2,1,0.7881
GSS_2261,60+,Lt High School,Q1 (Low),Extremely Conservative,Very Happy,2,3,4,0,0.9894
GSS_2262,45-59,High School,Q4 (High),Conservative,Pretty Happy,4,4,-9,1,1.585
GSS_2263,30-44,Lt High School,Q2 (Mid-Low),Extremely Conservative,Not Too Happy,1,5,4,0,1.1125
GSS_2264,30-44,High School,Q4 (High),Extremely Conservative,Very Happy,3,3,5,1,0.911
GSS_2265,60+,High School,Q4 (High),Conservative,Pretty Happy,4,5,5,1,0.8838
GSS_2266,45-59,High School,Q4 (High),Moderate,Pretty Happy,1,5,1,0,1.129
GSS_2267,30-44,Bachelor,Q4 (High),Extremely Conservative,Pretty Happy,2,1,1,0,1.1711
GSS_2268,18-29,Bachelor,Q4 (High),Moderate,Very Happy,2,1,2,0,0.6873
GSS_2269,30-44,High School,Q4 (High),Moderate,Not Too Happy,-9,-9,3,0,1.0371
GSS_2270,30-44,High School,Q4 (High),Extremely Liberal,Pretty Happy,1,2,3,0,1.2477
