Respondent_ID,Age_Group,Education_Level,Employment_Sector,Gender,Tech_Familiarity,Perceived_AI_Risk,Perceived_AI_Benefit,Ethical_Concern_Level,Privacy_Worry,Trust_Healthcare_AI,Trust_Workplace_AI,Trust_Financial_AI,Trust_Score_1_to_10,High_AI_Trust,Survey_Weight
RESP_1046,30-44,High School,Healthcare,Male,Advanced,1,1,5,4,5,8,5,3.6,0,1.2712
RESP_1047,30-44,High School,Tech/Engineering,Female,Novice,2,5,2,1,5,4,4,5.1,0,0.676
RESP_1048,30-44,PhD,Tech/Engineering,Male,Intermediate,4,3,4,2,8,5,8,7.5,1,1.2669
RESP_1049,18-29,Bachelor's,Healthcare,Non-Binary/Other,Novice,2,5,3,5,7,10,2,6.1,1,1.2079
RESP_1050,60+,Master's,Healthcare,Male,Advanced,5,4,2,3,6,7,5,6.0,1,0.8536
RESP_1051,45-59,Bachelor's,Other,Female,Intermediate,4,4,3,4,7,4,4,3.9,0,0.6139
RESP_1052,60+,High School,Education,Male,Intermediate,3,5,2,4,7,4,6,5.2,0,0.7036
RESP_1053,60+,High School,Healthcare,Female,Intermediate,2,3,4,2,5,6,7,5.6,0,0.8249
RESP_1054,30-44,Bachelor's,Education,Female,Intermediate,2,1,3,3,5,7,7,2.7,0,1.335
RESP_1055,60+,Bachelor's,Tech/Engineering,Female,Novice,5,2,2,3,9,9,7,3.5,0,1.0188
RESP_1056,18-29,Bachelor's,Education,Female,Novice,5,1,4,5,1,1,5,1.0,0,1.4266
RESP_1057,18-29,Bachelor's,Finance,Male,Advanced,1,2,5,4,5,7,5,5.4,0,1.3102
RESP_1058,18-29,High School,Education,Male,Advanced,1,2,4,1,6,7,6,3.9,0,0.8584
RESP_1059,30-44,Bachelor's,Education,Male,Advanced,1,3,4,2,7,3,7,8.6,1,1.3608
RESP_1060,30-44,Bachelor's,Other,Male,Intermediate,5,5,5,2,8,4,3,4.8,0,0.7051
RESP_1061,30-44,Master's,Public Sector,Male,Advanced,1,-9,4,2,10,1,6,7.4,1,0.6325
RESP_1062,45-59,Bachelor's,Finance,Female,Novice,1,5,5,2,6,4,4,7.3,1,1.1477
RESP_1063,30-44,Bachelor's,Education,Female,Intermediate,3,4,5,1,6,6,5,7.1,1,0.9076
RESP_1064,30-44,High School,Finance,Male,Intermediate,-9,3,5,1,7,9,5,4.4,0,0.8965
RESP_1065,30-44,High School,Healthcare,Female,Intermediate,2,3,2,5,5,9,4,6.2,1,1.2185
RESP_1066,18-29,Bachelor's,Healthcare,Male,Intermediate,5,4,3,4,4,3,3,3.6,0,1.3651
RESP_1067,45-59,Bachelor's,Tech/Engineering,Female,Novice,4,1,2,1,6,8,5,1.0,0,0.89
RESP_1068,18-29,Bachelor's,Education,Female,Intermediate,3,4,5,5,7,1,6,5.7,0,0.8925
RESP_1069,60+,Bachelor's,Education,Female,Advanced,5,1,3,3,6,4,4,1.8,0,1.0805
RESP_1070,45-59,Bachelor's,Healthcare,Female,Intermediate,-9,2,3,4,7,4,8,4.6,0,1.1879
RESP_1071,18-29,Master's,Other,Female,Novice,2,3,5,1,2,6,10,4.7,0,0.7826
RESP_1072,18-29,Master's,Other,Male,Novice,1,1,3,3,6,-9,6,4.2,0,1.4214
RESP_1073,45-59,High School,Finance,Female,Novice,2,5,3,5,-9,6,5,2.9,0,1.189
RESP_1074,45-59,Bachelor's,Education,Male,Novice,1,-9,2,1,3,5,3,5.1,0,1.1626
RESP_1075,45-59,High School,Public Sector,Female,Intermediate,1,3,3,1,-9,7,6,5.2,0,1.4138
RESP_1076,45-59,Bachelor's,Tech/Engineering,Female,Intermediate,5,4,5,3,10,7,8,5.4,0,1.4165
RESP_1077,18-29,PhD,Public Sector,Female,Intermediate,1,4,1,1,8,4,9,9.3,1,0.722
RESP_1078,30-44,High School,Tech/Engineering,Male,Intermediate,3,-9,1,2,8,7,8,4.1,0,0.7306
RESP_1079,18-29,Bachelor's,Public Sector,Female,Advanced,3,4,1,1,7,10,7,4.4,0,1.2858
RESP_1080,60+,Bachelor's,Healthcare,Male,Novice,3,3,5,4,7,4,6,3.3,0,1.4612
RESP_1081,45-59,Master's,Public Sector,Female,Intermediate,5,1,1,3,2,9,3,3.7,0,1.1999
RESP_1082,30-44,Bachelor's,Other,Male,Advanced,-9,2,2,4,6,4,5,4.6,0,0.9702
RESP_1083,18-29,High School,Tech/Engineering,Female,Novice,4,4,5,5,7,8,5,2.1,0,1.2151
RESP_1084,30-44,Bachelor's,Education,Male,Novice,1,4,5,4,7,4,5,7.4,1,0.8059
RESP_1085,30-44,Bachelor's,Other,Male,Advanced,4,1,5,2,9,-9,4,1.4,0,1.4982
RESP_1086,45-59,High School,Education,Male,Intermediate,2,5,3,2,4,5,7,6.3,1,0.988
RESP_1087,45-59,Bachelor's,Public Sector,Female,Intermediate,2,4,3,4,7,1,5,6.8,1,1.4385
RESP_1088,60+,High School,Education,Female,Novice,5,3,3,5,4,9,5,2.1,0,0.9877
RESP_1089,30-44,High School,Healthcare,Female,Intermediate,3,4,4,1,6,3,4,3.4,0,1.4353
RESP_1090,18-29,Bachelor's,Healthcare,Male,Intermediate,3,2,2,2,6,2,6,2.7,0,0.9021
RESP_1091,45-59,High School,Healthcare,Male,Novice,2,4,5,4,8,4,8,4.0,0,1.2845
RESP_1092,45-59,Bachelor's,Public Sector,Male,Intermediate,5,5,5,4,7,10,5,5.7,0,1.4559
RESP_1093,30-44,Bachelor's,Healthcare,Female,Novice,5,4,3,4,6,2,6,3.4,0,1.1814
RESP_1094,45-59,Master's,Education,Female,Intermediate,1,1,5,1,2,5,9,4.6,0,1.2098
RESP_1095,30-44,Bachelor's,Education,Female,Novice,3,4,5,3,7,3,8,5.1,0,0.6926
RESP_1096,30-44,High School,Education,Non-Binary/Other,Novice,2,5,1,5,5,3,7,4.7,0,1.0268
RESP_1097,30-44,High School,Public Sector,Male,Novice,4,1,5,3,9,1,6,1.9,0,1.3981
RESP_1098,18-29,Bachelor's,Other,Male,Novice,3,3,4,5,8,6,4,4.3,0,0.8168
RESP_1099,18-29,Master's,Education,Female,Advanced,1,-9,3,5,4,5,4,7.4,1,1.3095
RESP_1100,18-29,High School,Public Sector,Male,Novice,5,2,2,4,7,3,6,1.0,0,1.2081
RESP_1101,45-59,PhD,Public Sector,Male,Intermediate,2,1,2,2,7,7,6,4.8,0,0.8007
RESP_1102,30-44,High School,Education,Female,Novice,3,3,1,4,7,7,4,4.5,0,0.8545
RESP_1103,30-44,Bachelor's,Other,Male,Intermediate,4,4,2,1,7,6,7,5.0,0,0.9848
RESP_1104,60+,Master's,Healthcare,Male,Advanced,1,1,2,5,7,8,5,5.8,0,0.7126
RESP_1105,18-29,Master's,Tech/Engineering,Male,Novice,1,1,3,2,9,4,8,3.1,0,1.422
RESP_1106,30-44,Master's,Public Sector,Male,Advanced,3,1,3,5,5,6,5,5.4,0,1.2654
RESP_1107,45-59,Master's,Education,Female,Novice,4,1,4,5,4,4,5,2.9,0,0.9285
RESP_1108,18-29,Bachelor's,Public Sector,Female,Intermediate,1,3,1,4,8,2,3,5.4,0,0.8697
RESP_1109,18-29,Master's,Public Sector,Non-Binary/Other,Intermediate,2,5,2,2,2,5,4,7.1,1,1.2206
RESP_1110,30-44,High School,Tech/Engineering,Female,Advanced,1,5,4,2,7,5,8,8.0,1,0.9818
RESP_1111,18-29,Master's,Public Sector,Male,Intermediate,4,1,1,5,7,5,6,1.6,0,0.8064
RESP_1112,60+,Bachelor's,Education,Male,Intermediate,5,3,2,2,1,-9,6,3.3,0,0.9871
RESP_1113,45-59,Master's,Education,Male,Novice,5,3,2,2,5,8,9,1.1,0,1.3842
RESP_1114,45-59,Bachelor's,Finance,Non-Binary/Other,Novice,3,1,3,4,9,5,3,1.0,0,0.6617
RESP_1115,60+,Bachelor's,Other,Female,Advanced,4,2,5,3,3,3,7,3.5,0,0.9315
RESP_1116,45-59,Bachelor's,Tech/Engineering,Female,Intermediate,1,1,1,1,6,4,2,3.6,0,1.4661
RESP_1117,18-29,Master's,Education,Female,Intermediate,1,2,2,3,4,5,4,6.4,1,0.6133
RESP_1118,60+,High School,Finance,Female,Intermediate,5,1,1,2,5,7,3,1.4,0,1.4016
RESP_1119,30-44,High School,Finance,Female,Intermediate,5,2,4,5,10,5,7,3.6,0,0.9374
RESP_1120,45-59,Bachelor's,Finance,Female,Advanced,2,2,4,1,6,2,1,5.6,0,0.7706
RESP_1121,60+,High School,Tech/Engineering,Male,Intermediate,5,1,5,1,7,7,5,1.3,0,0.6135
RESP_1122,30-44,Master's,Healthcare,Male,Intermediate,2,2,2,5,6,6,3,3.8,0,0.6635
RESP_1123,18-29,Bachelor's,Healthcare,Female,Advanced,1,4,3,1,3,5,4,6.4,1,0.7547
RESP_1124,18-29,PhD,Public Sector,Female,Novice,2,5,2,5,4,7,4,7.7,1,0.6229
RESP_1125,30-44,Bachelor's,Healthcare,Male,Novice,2,3,1,1,8,7,8,4.6,0,0.9023
RESP_1126,45-59,High School,Healthcare,Female,Intermediate,3,2,4,3,6,4,5,3.6,0,0.6404
RESP_1127,60+,Master's,Other,Female,Novice,5,2,1,1,4,3,9,3.8,0,1.223
RESP_1128,18-29,Bachelor's,Tech/Engineering,Female,Intermediate,2,3,5,4,6,5,9,4.0,0,1.337
RESP_1129,30-44,Bachelor's,Other,Male,Advanced,1,2,4,5,7,6,10,8.2,1,1.3987
RESP_1130,30-44,Bachelor's,Finance,Female,Intermediate,4,3,3,1,7,5,5,2.1,0,1.0942
RESP_1131,18-29,Master's,Public Sector,Non-Binary/Other,Intermediate,2,1,4,5,4,3,6,4.8,0,1.4519
RESP_1132,18-29,Bachelor's,Healthcare,Female,Advanced,5,4,2,4,3,5,6,3.5,0,0.6051
RESP_1133,30-44,PhD,Tech/Engineering,Male,Intermediate,3,4,2,1,5,1,5,7.8,1,0.7206
RESP_1134,60+,PhD,Finance,Female,Intermediate,1,5,4,1,8,4,6,7.3,1,0.8638
RESP_1135,30-44,Bachelor's,Public Sector,Female,Intermediate,3,2,5,4,8,7,3,1.0,0,1.3101
RESP_1136,30-44,High School,Finance,Male,Advanced,4,5,2,4,7,7,1,6.2,1,1.3969
RESP_1137,45-59,Bachelor's,Tech/Engineering,Male,Intermediate,2,1,2,4,-9,1,7,3.6,0,1.1563
RESP_1138,30-44,High School,Public Sector,Male,Intermediate,2,4,3,5,5,5,5,6.9,1,0.9449
RESP_1139,60+,High School,Public Sector,Male,Advanced,5,1,4,4,6,6,3,2.2,0,1.1993
RESP_1140,60+,Bachelor's,Finance,Male,Intermediate,2,1,2,5,8,2,4,2.8,0,0.7628
RESP_1141,30-44,Bachelor's,Public Sector,Male,Intermediate,1,2,5,3,8,4,8,4.6,0,1.0121
RESP_1142,30-44,Master's,Public Sector,Male,Advanced,4,1,1,1,5,8,6,7.9,1,1.0568
RESP_1143,30-44,Master's,Finance,Female,Intermediate,3,4,4,1,10,4,2,5.1,0,0.6944
RESP_1144,30-44,Master's,Tech/Engineering,Female,Intermediate,4,5,3,2,6,9,3,6.8,1,0.6305
RESP_1145,18-29,Bachelor's,Education,Female,Advanced,2,4,2,3,5,3,5,7.6,1,1.2751
RESP_1146,45-59,Bachelor's,Tech/Engineering,Male,Intermediate,3,2,5,4,9,8,6,4.5,0,1.0812
RESP_1147,30-44,Bachelor's,Education,Female,Intermediate,5,4,4,4,2,5,4,4.6,0,0.899
RESP_1148,18-29,PhD,Education,Female,Advanced,4,3,5,3,7,3,5,6.1,1,0.9935
RESP_1149,30-44,High School,Tech/Engineering,Male,Advanced,3,5,5,4,6,8,6,4.6,0,1.4619
RESP_1150,60+,Master's,Healthcare,Male,Intermediate,3,3,3,2,9,2,6,5.5,0,0.9464
RESP_1151,18-29,Bachelor's,Tech/Engineering,Male,Novice,3,3,4,5,7,3,1,3.8,0,0.6931
RESP_1152,18-29,Bachelor's,Public Sector,Female,Intermediate,1,2,2,1,6,6,6,5.3,0,1.0172
RESP_1153,30-44,Master's,Other,Male,Intermediate,4,1,3,3,7,5,2,3.7,0,1.1832
RESP_1154,60+,Bachelor's,Tech/Engineering,Female,Intermediate,3,3,2,1,4,6,5,4.1,0,0.6109
RESP_1155,18-29,Master's,Other,Female,Intermediate,4,4,1,5,-9,4,4,4.7,0,0.8991
RESP_1156,45-59,PhD,Education,Female,Intermediate,3,1,5,3,3,2,3,5.6,0,0.9542
RESP_1157,45-59,Bachelor's,Healthcare,Female,Intermediate,5,4,1,5,7,4,7,3.6,0,1.0173
RESP_1158,18-29,Bachelor's,Tech/Engineering,Female,Novice,5,4,5,4,6,8,3,2.6,0,0.8715
RESP_1159,45-59,Bachelor's,Education,Male,Intermediate,5,1,3,4,2,2,4,1.0,0,1.2002
RESP_1160,30-44,PhD,Public Sector,Female,Intermediate,2,1,2,4,6,9,7,5.9,0,1.4502
RESP_1161,45-59,Bachelor's,Finance,Male,Novice,3,4,2,5,7,6,4,4.3,0,1.4226
RESP_1162,45-59,Bachelor's,Tech/Engineering,Male,Novice,2,2,3,5,5,4,4,6.4,1,1.198
RESP_1163,30-44,Bachelor's,Tech/Engineering,Female,Intermediate,4,5,4,5,4,1,5,5.6,0,1.0562
RESP_1164,18-29,Master's,Education,Male,Intermediate,2,5,1,1,7,1,6,6.2,1,1.3432
RESP_1165,45-59,High School,Healthcare,Female,Novice,-9,2,1,5,7,4,8,2.0,0,1.3523
RESP_1166,30-44,Master's,Healthcare,Male,Advanced,4,1,2,4,-9,4,3,4.8,0,1.3466
RESP_1167,18-29,PhD,Healthcare,Female,Intermediate,4,-9,2,2,-9,5,4,4.7,0,0.7421
RESP_1168,18-29,High School,Public Sector,Female,Advanced,2,5,2,5,5,9,5,7.4,1,0.6229
RESP_1169,30-44,Bachelor's,Other,Female,Intermediate,3,4,3,2,10,6,6,6.6,1,1.4849
RESP_1170,45-59,PhD,Education,Male,Intermediate,2,2,4,4,5,5,4,7.4,1,1.4637
RESP_1171,18-29,High School,Other,Male,Advanced,3,4,1,5,4,8,7,5.3,0,1.1079
RESP_1172,30-44,Master's,Healthcare,Female,Intermediate,3,2,5,1,6,5,3,4.2,0,1.4938
RESP_1173,18-29,Bachelor's,Education,Male,Intermediate,-9,1,3,1,6,9,1,3.1,0,1.2935
RESP_1174,45-59,Bachelor's,Healthcare,Male,Novice,2,2,1,2,5,4,6,5.3,0,1.0656
RESP_1175,18-29,Master's,Finance,Male,Intermediate,3,2,4,1,10,2,7,3.2,0,0.9504
RESP_1176,45-59,Bachelor's,Other,Male,Novice,5,5,3,1,4,1,7,4.4,0,1.1336
RESP_1177,30-44,Bachelor's,Finance,Male,Novice,3,4,1,1,6,5,1,4.7,0,1.0642
RESP_1178,60+,Bachelor's,Healthcare,Male,Novice,-9,5,3,4,4,-9,4,4.3,0,1.4944
RESP_1179,18-29,Bachelor's,Finance,Male,Novice,2,3,1,1,5,2,5,6.0,1,1.0414
RESP_1180,30-44,High School,Tech/Engineering,Female,Advanced,2,2,1,3,9,-9,9,6.2,1,1.3523
RESP_1181,18-29,Bachelor's,Public Sector,Female,Novice,2,3,4,5,7,1,5,6.3,1,1.3323
RESP_1182,60+,PhD,Education,Female,Intermediate,3,5,5,1,7,5,2,9.1,1,0.6643
RESP_1183,60+,Bachelor's,Education,Male,Advanced,1,4,4,1,4,5,6,7.8,1,0.6783
RESP_1184,30-44,Bachelor's,Education,Male,Intermediate,3,5,1,1,5,5,8,6.9,1,1.1938
RESP_1185,45-59,Bachelor's,Finance,Female,Novice,3,4,3,3,10,8,8,5.0,0,0.8332
RESP_1186,45-59,Master's,Tech/Engineering,Male,Intermediate,4,4,4,1,7,3,6,4.3,0,1.1918
RESP_1187,30-44,High School,Finance,Female,Intermediate,4,1,5,1,5,8,6,1.0,0,0.7302
RESP_1188,30-44,PhD,Healthcare,Female,Intermediate,3,2,1,5,7,1,1,5.7,0,0.9574
RESP_1189,18-29,Bachelor's,Finance,Non-Binary/Other,Intermediate,5,5,4,3,7,6,5,4.9,0,0.6922
RESP_1190,18-29,Bachelor's,Public Sector,Female,Advanced,4,4,4,3,4,8,6,5.3,0,0.8539
RESP_1191,60+,High School,Public Sector,Female,Intermediate,3,5,4,1,5,1,5,5.6,0,0.6795
RESP_1192,60+,High School,Education,Male,Intermediate,1,5,4,3,10,5,7,9.2,1,1.4735
RESP_1193,45-59,Bachelor's,Education,Male,Intermediate,5,4,3,2,7,5,5,1.4,0,0.9556
RESP_1194,30-44,Bachelor's,Tech/Engineering,Female,Novice,2,3,5,3,3,5,5,5.3,0,1.4111
RESP_1195,30-44,Master's,Public Sector,Male,Advanced,3,2,5,3,7,-9,7,6.5,1,1.4741
RESP_1196,45-59,Bachelor's,Healthcare,Male,Novice,3,2,1,3,9,3,4,4.2,0,1.4186
RESP_1197,60+,Bachelor's,Education,Female,Intermediate,5,1,2,4,-9,2,5,1.0,0,1.0095
RESP_1198,60+,Bachelor's,Healthcare,Female,Advanced,4,1,3,4,5,5,7,2.9,0,1.301
RESP_1199,45-59,Master's,Tech/Engineering,Male,Intermediate,4,1,1,4,9,-9,3,2.6,0,0.7383
RESP_1200,45-59,High School,Finance,Female,Intermediate,4,2,1,3,6,6,3,3.0,0,0.6853
RESP_1201,18-29,High School,Tech/Engineering,Male,Intermediate,2,3,4,2,6,5,8,3.4,0,1.3892
RESP_1202,18-29,High School,Finance,Male,Advanced,5,2,2,3,3,4,4,3.4,0,0.628
RESP_1203,60+,Master's,Healthcare,Non-Binary/Other,Intermediate,-9,2,2,1,8,1,7,3.4,0,1.4751
RESP_1204,45-59,Bachelor's,Tech/Engineering,Female,Advanced,4,2,3,2,6,6,2,3.7,0,1.2049
RESP_1205,18-29,Bachelor's,Education,Non-Binary/Other,Novice,4,2,2,4,2,7,1,3.9,0,0.9777
RESP_1206,18-29,Master's,Tech/Engineering,Female,Intermediate,1,3,1,5,3,3,6,7.7,1,0.7272
RESP_1207,45-59,Master's,Healthcare,Female,Advanced,1,1,2,2,5,4,5,6.2,1,1.2509
RESP_1208,18-29,Bachelor's,Finance,Female,Novice,3,5,2,4,4,3,6,3.7,0,1.1068
RESP_1209,18-29,Master's,Tech/Engineering,Female,Intermediate,3,-9,5,2,4,7,9,5.7,0,1.24
RESP_1210,30-44,Bachelor's,Public Sector,Male,Novice,5,1,1,2,10,4,3,1.3,0,0.9761
RESP_1211,45-59,High School,Tech/Engineering,Female,Intermediate,5,5,2,3,7,5,5,1.8,0,0.6596
RESP_1212,45-59,Bachelor's,Healthcare,Female,Intermediate,2,2,2,1,1,6,8,4.9,0,0.8835
RESP_1213,18-29,High School,Finance,Male,Intermediate,2,3,4,5,5,6,3,3.5,0,0.8835
RESP_1214,45-59,Bachelor's,Healthcare,Female,Novice,1,3,2,4,6,6,4,3.4,0,0.6078
RESP_1215,18-29,PhD,Tech/Engineering,Male,Novice,3,1,2,2,3,5,2,2.4,0,0.6086
RESP_1216,30-44,High School,Healthcare,Female,Novice,1,5,5,5,7,5,10,3.7,0,0.8977
RESP_1217,45-59,High School,Healthcare,Male,Intermediate,1,4,1,2,2,5,1,5.8,0,1.2549
RESP_1218,45-59,Bachelor's,Public Sector,Male,Intermediate,-9,2,3,1,8,6,7,2.6,0,1.1616
RESP_1219,45-59,PhD,Healthcare,Female,Advanced,-9,1,1,5,-9,6,3,6.9,1,0.8151
RESP_1220,45-59,Bachelor's,Public Sector,Female,Intermediate,3,3,4,4,10,2,3,4.2,0,1.1425
RESP_1221,30-44,Bachelor's,Public Sector,Female,Intermediate,4,5,1,2,3,4,8,4.6,0,1.1826
RESP_1222,18-29,High School,Education,Male,Advanced,4,5,2,1,-9,5,4,4.1,0,1.0703
RESP_1223,30-44,High School,Other,Female,Intermediate,4,1,4,5,7,6,7,1.3,0,1.0692
RESP_1224,30-44,PhD,Healthcare,Female,Advanced,5,4,1,2,8,9,8,8.1,1,0.9328
RESP_1225,18-29,PhD,Other,Female,Intermediate,2,3,4,2,-9,3,6,8.7,1,0.7111
RESP_1226,60+,High School,Tech/Engineering,Female,Novice,2,1,3,4,8,7,7,2.0,0,0.9469
RESP_1227,30-44,PhD,Finance,Male,Novice,5,4,1,1,-9,4,5,4.6,0,0.9108
RESP_1228,60+,Bachelor's,Education,Male,Intermediate,1,5,2,3,6,8,6,8.4,1,1.1328
RESP_1229,45-59,Master's,Healthcare,Female,Novice,4,2,4,2,6,9,4,1.8,0,1.3706
RESP_1230,45-59,Bachelor's,Finance,Female,Intermediate,4,3,5,5,3,1,9,4.3,0,0.9378
RESP_1231,30-44,Bachelor's,Finance,Male,Intermediate,1,3,4,4,5,4,7,8.8,1,1.2388
RESP_1232,30-44,Bachelor's,Tech/Engineering,Male,Intermediate,3,4,5,4,-9,1,6,6.3,1,1.3306
RESP_1233,30-44,Bachelor's,Tech/Engineering,Female,Intermediate,3,1,2,2,4,1,7,3.9,0,0.7906
RESP_1234,18-29,High School,Finance,Female,Novice,2,5,3,2,6,1,4,7.2,1,1.4115
RESP_1235,45-59,High School,Finance,Female,Intermediate,5,4,5,2,4,6,7,4.6,0,0.6634
RESP_1236,30-44,Bachelor's,Other,Male,Intermediate,2,2,3,3,8,6,9,4.2,0,1.4115
RESP_1237,18-29,Master's,Public Sector,Female,Advanced,3,2,4,2,7,7,2,4.1,0,0.7473
RESP_1238,45-59,Bachelor's,Other,Male,Intermediate,1,2,2,1,5,6,6,5.0,0,0.9035
RESP_1239,18-29,Bachelor's,Finance,Male,Advanced,2,4,5,5,6,6,5,5.9,0,1.1447
RESP_1240,60+,PhD,Healthcare,Male,Intermediate,4,5,4,2,4,5,4,6.7,1,1.4151
RESP_1241,60+,High School,Tech/Engineering,Female,Intermediate,4,3,1,3,4,5,3,2.4,0,0.8301
RESP_1242,60+,Bachelor's,Public Sector,Female,Novice,1,1,4,5,5,7,8,3.1,0,1.2872
RESP_1243,30-44,Bachelor's,Finance,Female,Intermediate,3,3,3,4,6,5,6,2.8,0,1.2394
RESP_1244,18-29,Master's,Tech/Engineering,Female,Intermediate,4,5,2,2,6,6,5,5.4,0,0.7437
RESP_1245,60+,High School,Healthcare,Male,Intermediate,4,3,2,5,6,1,6,3.9,0,1.0315
RESP_1246,30-44,Bachelor's,Other,Non-Binary/Other,Intermediate,5,4,4,4,3,2,5,4.8,0,1.0334
RESP_1247,60+,Master's,Education,Male,Intermediate,2,2,1,3,6,7,4,5.7,0,0.8742
RESP_1248,60+,PhD,Education,Male,Intermediate,3,5,3,1,4,4,6,7.2,1,1.3019
